epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2247.28,0.86407,4.04292,1.21694,0.24527,0.45918,0.28907,0.23083,0.78041,3.25784,1.10483,0.00017454,0.00017454,0.00017454
2,4387.89,0.75878,2.98959,1.08143,0.45404,0.51109,0.47384,0.38561,0.7662,2.66253,1.10848,0.000315236,0.000315236,0.000315236
3,6520.91,0.73032,2.35489,1.05649,0.65923,0.56363,0.6575,0.54679,0.73297,1.9855,1.06523,0.000421216,0.000421216,0.000421216
4,8666.68,0.69604,1.77053,1.03345,0.76407,0.70262,0.77759,0.65044,0.70812,1.46005,1.03877,0.000369778,0.000369778,0.000369778
5,10803.7,0.67162,1.42943,1.00699,0.81876,0.74887,0.81258,0.68931,0.68506,1.2368,1.02937,0.000317704,0.000317704,0.000317704
6,12938.2,0.6474,1.2021,0.99033,0.90594,0.73057,0.85036,0.72006,0.65497,1.07453,1.0013,0.00026563,0.00026563,0.00026563
7,15075.5,0.61566,1.01039,0.97364,0.92879,0.78714,0.8917,0.75481,0.63955,0.89902,0.99429,0.000213556,0.000213556,0.000213556
8,17213.4,0.59324,0.88841,0.96074,0.90749,0.82856,0.90559,0.77716,0.61605,0.81044,0.97195,0.000161482,0.000161482,0.000161482
9,19357.7,0.57477,0.80658,0.94794,0.91563,0.84205,0.91868,0.78702,0.60056,0.73768,0.96352,0.000109408,0.000109408,0.000109408
10,21498.4,0.55688,0.75694,0.93925,0.93816,0.84056,0.92635,0.79743,0.58494,0.70316,0.95761,5.7334e-05,5.7334e-05,5.7334e-05
